# Spectral Format Red Arm, from the ESPRESSO ETC 
# columns are
#   order  
#   wavelength of central column (nm)
#   y of central column (pix)
#   y of central column (arcsec)
#   FSR range (nm)
#   FSR l Min (nm)
#   FSR l Max (nm)
#   start wav (nm)
#   end wav (nm)
#   TS range (nm)
78 	784.45 	1145 	114 	10.06 	779.45 	789.51 	778.98 	790.64 	11.66
79 	774.52 	1376 	138 	9.80 	769.65 	779.45 	769.11 	780.65 	11.54
80 	764.84 	1601 	160 	9.56 	760.09 	769.65 	759.48 	770.89 	11.41
81 	755.40 	1819 	182 	9.33 	750.76 	760.09 	750.10 	761.38 	11.28
82 	746.19 	2030 	203 	9.10 	741.66 	750.76 	740.95 	752.10 	11.16
83 	737.19 	2236 	224 	8.88 	732.78 	741.66 	732.01 	743.04 	11.03
84 	728.42 	2435 	244 	8.67 	724.11 	732.78 	723.29 	734.20 	10.91
85 	719.85 	2629 	263 	8.47 	715.64 	724.11 	714.78 	725.57 	10.79
86 	711.48 	2818 	282 	8.27 	707.37 	715.64 	706.46 	717.13 	10.67
87 	703.30 	3002 	300 	8.08 	699.28 	707.37 	698.34 	708.89 	10.56
88 	695.31 	3181 	318 	7.90 	691.38 	699.28 	690.40 	700.84 	10.45
89 	687.50 	3355 	336 	7.72 	683.66 	691.38 	682.63 	692.97 	10.34
90 	679.86 	3525 	353 	7.55 	676.10 	683.66 	675.04 	685.27 	10.23
91 	672.39 	3691 	369 	7.39 	668.71 	676.10 	667.62 	677.74 	10.12
92 	665.08 	3852 	385 	7.23 	661.48 	668.71 	660.36 	670.38 	10.02
93 	657.93 	4010 	401 	7.07 	654.41 	661.48 	653.26 	663.18 	9.92
94 	650.93 	4164 	416 	6.92 	647.48 	654.41 	646.31 	656.12 	9.82
95 	644.08 	4314 	431 	6.78 	640.70 	647.48 	639.50 	649.22 	9.71
96 	637.37 	4460 	446 	6.64 	634.06 	640.70 	632.84 	642.46 	9.62
97 	630.80 	4604 	460 	6.50 	627.56 	634.06 	626.31 	635.83 	9.52
98 	624.36 	4743 	474 	6.37 	621.19 	627.56 	619.92 	629.35 	9.43
99 	618.05 	4880 	488 	6.24 	614.95 	621.19 	613.65 	622.99 	9.34
100 	611.87 	5014 	501 	6.12 	608.83 	614.95 	607.52 	616.76 	9.25
101 	605.81 	5144 	514 	6.00 	602.83 	608.83 	601.50 	610.66 	9.16
102 	599.87 	5272 	527 	5.88 	596.95 	602.83 	595.60 	604.67 	9.07
103 	594.05 	5397 	540 	5.77 	591.18 	596.95 	589.82 	598.80 	8.99
104 	588.34 	5519 	552 	5.66 	585.52 	591.18 	584.14 	593.05 	8.90
105 	582.74 	5639 	564 	5.55 	579.97 	585.52 	578.58 	587.40 	8.82
106 	577.24 	5756 	576 	5.45 	574.53 	579.97 	573.12 	581.86 	8.74
107 	571.84 	5870 	587 	5.34 	569.18 	574.53 	567.76 	576.42 	8.66
108 	566.55 	5983 	598 	5.25 	563.94 	569.18 	562.50 	571.08 	8.58
109 	561.35 	6093 	609 	5.15 	558.79 	563.94 	557.34 	565.85 	8.51
110 	556.25 	6200 	620 	5.06 	553.73 	558.79 	552.27 	560.71 	8.43
111 	551.24 	6306 	631 	4.97 	548.76 	553.73 	547.30 	555.65 	8.36
112 	546.31 	6409 	641 	4.88 	543.89 	548.76 	542.41 	550.69 	8.29
113 	541.48 	6510 	651 	4.79 	539.09 	543.89 	537.61 	545.82 	8.22
114 	536.73 	6609 	661 	4.71 	534.39 	539.09 	532.89 	541.03 	8.15
115 	532.06 	6707 	671 	4.63 	529.76 	534.39 	528.25 	536.33 	8.08
116 	527.48 	6802 	680 	4.55 	525.21 	529.76 	523.70 	531.71 	8.01
117 	522.97 	6896 	690 	4.47 	520.74 	525.21 	519.22 	527.16 	7.94
