# Spectral Format Blue Arm, from the ESPRESSO ETC 
# columns are
#   order  
#   wavelength of central column (nm)
#   y of central column (pix)
#   y of central column (arcsec)
#   FSR range (nm)
#   FSR l Min (nm)
#   FSR l Max (nm)
#   start wav (nm)
#   end wav (nm)
#   TS range (nm)
117  522.97  1122  112  4.47  520.74  525.21  519.13  527.03  7.89
118  518.54  1324  132  4.39  516.35  520.74  514.72  522.57  7.84
119  514.18  1521  152  4.32  512.03  516.35  510.39  518.18  7.79
120  509.89  1714  171  4.25  507.78  512.03  506.13  513.87  7.74
121  505.68  1902  190  4.18  503.60  507.78  501.94  509.63  7.69
122  501.53  2086  209  4.11  499.49  503.60  497.82  505.45  7.64
123  497.46  2266  227  4.04  495.44  499.49  493.76  501.35  7.58
124  493.44  2442  244  3.98  491.46  495.44  489.78  497.31  7.53
125  489.50  2614  261  3.92  487.55  491.46  485.85  493.33  7.48
126  485.61  2783  278  3.85  483.69  487.55  481.99  489.42  7.43
127  481.79  2948  295  3.79  479.90  483.69  478.19  485.57  7.38
128  478.02  3110  311  3.73  476.16  479.90  474.45  481.78  7.33
129  474.32  3269  327  3.68  472.49  476.16  470.77  478.05  7.28
130  470.67  3424  342  3.62  468.87  472.49  467.15  474.38  7.23
131  467.08  3577  358  3.57  465.30  468.87  463.57  470.76  7.18
132  463.54  3726  373  3.51  461.79  465.30  460.06  467.19  7.13
133  460.05  3873  387  3.46  458.33  461.79  456.60  463.68  7.08
134  456.62  4017  402  3.41  454.92  458.33  453.19  460.22  7.04
135  453.24  4158  416  3.36  451.57  454.92  449.83  456.82  6.99
136  449.91  4297  430  3.31  448.26  451.57  446.52  453.46  6.94
137  446.62  4433  443  3.26  445.00  448.26  443.26  450.15  6.90
138  443.39  4567  457  3.21  441.78  445.00  440.04  446.89  6.85
139  440.20  4698  470  3.17  438.62  441.78  436.87  443.68  6.81
140  437.05  4827  483  3.12  435.50  438.62  433.75  440.51  6.76
141  433.95  4954  495  3.08  432.42  435.50  430.67  437.39  6.72
142  430.90  5079  508  3.03  429.38  432.42  427.64  434.31  6.67
143  427.88  5201  520  2.99  426.39  429.38  424.64  431.27  6.63
144  424.91  5321  532  2.95  423.44  426.39  421.69  428.28  6.59
145  421.98  5440  544  2.91  420.53  423.44  418.78  425.33  6.55
146  419.09  5556  556  2.87  417.66  420.53  415.91  422.42  6.50
147  416.24  5671  567  2.83  414.83  417.66  413.08  419.54  6.46
148  413.43  5783  578  2.79  412.03  414.83  410.29  416.71  6.42
149  410.65  5894  589  2.76  409.28  412.03  407.53  413.91  6.38
150  407.91  6003  600  2.72  406.56  409.28  404.82  411.15  6.34
151  405.21  6110  611  2.68  403.88  406.56  402.13  408.43  6.30
152  402.55  6216  622  2.65  401.23  403.88  399.48  405.75  6.26
153  399.92  6320  632  2.61  398.61  401.23  396.87  403.10  6.22
154  397.32  6422  642  2.58  396.03  398.61  394.30  400.48  6.18
155  394.76  6522  652  2.55  393.49  396.03  391.75  397.90  6.15
156  392.23  6621  662  2.51  390.97  393.49  389.24  395.35  6.11
157  389.73  6719  672  2.48  388.49  390.97  386.76  392.83  6.07
158  387.26  6815  681  2.45  386.04  388.49  384.31  390.34  6.03
159  384.83  6910  691  2.42  383.62  386.04  381.89  387.89  6.00
160  382.42  7003  700  2.39  381.23  383.62  379.50  385.47  5.96
161  380.04  7094  709  2.36  378.87  381.23  377.15  383.07  5.93
